DDate,AmcCode,AmcName,YardCode,YardName,CommCode,CommName,VarityCode,VarityName,ProgArrivals,Arrivals,Minimum,Maximum,Model,Valuation,MarketFee
2025-02-01 00:00:00+05:30,324,Bowenpally,3,Bowenpally,55,Onions,55,Common,0.0,892.0,800.0,3000.0,2400.0,0.0,0.0
2025-02-01 00:00:00+05:30,323,Gaddiannaram,2,L.B Nagar,98,Cabbage,98,Common,0.0,87.0,800.0,1000.0,900.0,0.0,0.0
2025-02-01 00:00:00+05:30,325,Hyderabad,6,Madannapeta,98,Cabbage,98,Common,0.0,20.0,800.0,1200.0,1000.0,0.0,0.0
2025-02-01 00:00:00+05:30,325,Hyderabad,5,Mahabubmansion,54,Chillies(Dry),250,Teja,0.0,428.0,11000.0,13000.0,12000.0,0.0,0.0
2025-02-01 00:00:00+05:30,325,Hyderabad,7,Meeralamandi,98,Cabbage,98,Common,0.0,4.0,1000.0,1000.0,1000.0,0.0,0.0
2025-02-01 00:00:00+05:30,316,Narsingi,49,Babbuguda,168,Cattle(All),168,Common,0.0,75.0,5000.0,20000.0,15000.0,0.0,0.0
2025-02-01 00:00:00+05:30,278,Suryapet,1091,Suryapet,1,Paddy,195,Grade-A,0.0,180.0,1429.0,2534.0,2313.0,0.0,0.0
2025-02-01 00:00:00+05:30,367,Gudimalkapur,1571,Gudumalkapur,55,Onions,55,Common,0.0,2192.0,800.0,3000.0,200.0,0.0,0.0
2025-02-02 00:00:00+05:30,324,Bowenpally,3,Bowenpally,55,Onions,55,Common,0.0,820.0,1000.0,2500.0,2000.0,0.0,0.0
2025-02-02 00:00:00+05:30,323,Gaddiannaram,2,L.B Nagar,98,Cabbage,98,Common,0.0,65.0,800.0,1000.0,900.0,0.0,0.0
2025-02-02 00:00:00+05:30,325,Hyderabad,6,Madannapeta,98,Cabbage,98,Common,0.0,30.0,600.0,1000.0,800.0,0.0,0.0
2025-02-02 00:00:00+05:30,316,Narsingi,49,Babbuguda,168,Cattle(All),168,Common,0.0,115.0,15000.0,50000.0,40000.0,0.0,0.0
2025-02-02 00:00:00+05:30,329,Navabpet(MBNR),1483,Navabpet,1,Paddy,271,Common (Hamsa),0.0,8.0,2018.0,2018.0,2018.0,0.0,0.0
2025-02-02 00:00:00+05:30,367,Gudimalkapur,1571,Gudumalkapur,55,Onions,55,Common,0.0,1934.0,500.0,3000.0,1800.0,0.0,0.0
2025-02-03 00:00:00+05:30,323,Gaddiannaram,2,L.B Nagar,98,Cabbage,98,Common,0.0,107.0,800.0,1000.0,900.0,0.0,0.0
2025-02-03 00:00:00+05:30,324,Bowenpally,3,Bowenpally,55,Onions,55,Common,0.0,169.0,800.0,3000.0,2400.0,0.0,0.0
2025-02-03 00:00:00+05:30,325,Hyderabad,6,Madannapeta,98,Cabbage,98,Common,0.0,25.0,600.0,1200.0,900.0,0.0,0.0
2025-02-03 00:00:00+05:30,325,Hyderabad,5,Mahabubmansion,54,Chillies(Dry),250,Teja,0.0,337.0,11000.0,13600.0,12000.0,0.0,0.0
2025-02-03 00:00:00+05:30,279,Thirumalagiri,9,Tirmalagiri,1,Paddy,237,Grade-A(IR64),0.0,77.0,1940.0,2069.0,1980.0,0.0,0.0
2025-02-03 00:00:00+05:30,278,Suryapet,1091,Suryapet,1,Paddy,195,Grade-A,0.0,152.0,2169.0,2582.0,2308.0,0.0,0.0
2025-02-03 00:00:00+05:30,367,Gudimalkapur,1571,Gudumalkapur,55,Onions,55,Common,0.0,569.0,1000.0,3000.0,1900.0,0.0,0.0
2025-02-04 00:00:00+05:30,324,Bowenpally,3,Bowenpally,55,Onions,55,Common,0.0,1189.0,800.0,3000.0,2400.0,0.0,0.0
2025-02-04 00:00:00+05:30,323,Gaddiannaram,2,L.B Nagar,98,Cabbage,98,Common,0.0,77.0,800.0,1000.0,900.0,0.0,0.0
2025-02-04 00:00:00+05:30,325,Hyderabad,5,Mahabubmansion,54,Chillies(Dry),250,Teja,0.0,396.0,11000.0,13500.0,12000.0,0.0,0.0
2025-02-04 00:00:00+05:30,325,Hyderabad,6,Madannapeta,98,Cabbage,98,Common,0.0,35.0,800.0,1200.0,1000.0,0.0,0.0
2025-02-04 00:00:00+05:30,279,Thirumalagiri,9,Tirmalagiri,1,Paddy,237,Grade-A(IR64),0.0,29.0,2130.0,2210.0,2170.0,0.0,0.0
2025-02-04 00:00:00+05:30,278,Suryapet,1091,Suryapet,1,Paddy,195,Grade-A,0.0,137.0,1631.0,2543.0,2543.0,0.0,0.0
2025-02-04 00:00:00+05:30,367,Gudimalkapur,1571,Gudumalkapur,55,Onions,55,Common,0.0,1469.0,900.0,2700.0,1600.0,0.0,0.0
2025-02-05 00:00:00+05:30,323,Gaddiannaram,2,L.B Nagar,98,Cabbage,98,Common,0.0,103.0,600.0,1000.0,800.0,0.0,0.0
